法人区分,施設屋号,施設郵便番号,施設都道府県,施設市町村,施設住所１,施設住所２,施設電話番号,許可番号,枝番,業種名,細分類名,新規許可日,許可開始日,許可終了日,廃止日,抹消日 
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,140027,1,飲食店営業,そう菜,20140221,20200221,20260220,,
1,フードランドアルビス大島店,939-0285,富山県,射水市,本開発11,,0766-50-2300,502,108,百貨店、総合スーパー,,,20210915,29990101,,
1,アルビス　タピス店,939-0116,富山県,高岡市,福岡町下蓑385,タピス1Ｆ,0766-64-5810,990226,2,食肉販売業,,19921105,20231105,20281104,,0
1,アルビス　タピス店,939-0116,富山県,高岡市,福岡町下蓑385,タピス1Ｆ,0766-64-5810,990226,1,魚介類販売業,,19921105,20231105,20281104,,0
1,アルビス　タピス店,939-0116,富山県,高岡市,福岡町下蓑385,タピス1Ｆ,0766-64-5810,990226,6,飲食店営業,仕出し弁当,20150716,20210716,20270715,,
1,アルビス　タピス店,939-0116,富山県,高岡市,福岡町下蓑385,タピス1Ｆ,0766-64-5810,990226,107,百貨店、総合スーパー,,,20210706,29990101,,
1,IOX-ヴァルト,939-1681,富山県,南砺市,才川七字荒山5番地,,0763-55-1969,990931,1,飲食店営業,食堂,19950407,20210401,20260331,,0
1,ＩＯＸ－ヴァルト企業組合,939-1681,富山県,南砺市,才川七字荒山5,,0766-55-1969,171,2,魚介類販売業,,20010206,20190206,20250205,,0
1,ＩＯＸ－ヴァルト企業組合,939-1681,富山県,南砺市,才川七字荒山5,,0766-55-1969,171,1,食肉販売業,,20010206,20190206,20250205,,0
1,とりでん高岡駅南店,933-0813,富山県,高岡市,下伏間江576,,0766-28-8494,30026,1,飲食店営業,軽飲食,20030221,20210303,20260302,,0
1,オークスセレモニーホール東部,939-0611,富山県,下新川郡入善町,古黒部字道上2642,オークスセレモニーホール東部,0765-74-1030,991705,2,飲食店営業,食堂,19970519,20190601,20250531,,0
1,オークスセレモニーホール魚津,937-0805,富山県,魚津市,本江3152,,0765-23-1194,205,1,飲食店営業,料理,20021219,20201225,20261224,,0
1,セレモニーホール立山,930-0231,富山県,中新川郡立山町,坂井沢字高見割4-3,,076-463-4594,455,1,飲食店営業,料理,20041221,20231221,20291220,,0
1,パテシェ・ルージュ洋菓子センター,939-0306,富山県,射水市,手崎330,,0766-55-2500,991212,1,菓子製造業,,19950814,20180814,20240813,,0
1,パテシェ・ルージュ洋菓子センター,939-0306,富山県,射水市,手崎330,,0766-55-2500,991212,2,アイスクリーム類製造業,,19950814,20180814,20240813,,0
1,オークスセレモニーホール射水,939-0285,富山県,射水市,本開発地内565-3,,0766-55-4194,336,1,飲食店営業,料理,20030116,20210116,20270115,,0
1,オークスＴＯＮＡＭＩ翔凜館,939-1365,富山県,砺波市,三島町11-8,オークスＴＯＮＡＭＩ翔凜館,0764-41-7711,991489,1,飲食店営業,料理,19840201,20220201,20280131,,0
1,カトーミート株式会社,933-0032,富山県,高岡市,定塚町1-7,,0766-25-5529,990036,2,食肉処理業,,19970420,20190420,20250419,,0
1,カトーミート株式会社,933-0032,富山県,高岡市,定塚町1-7,,0766-25-5529,990036,103,野菜果物販売業,,,20210811,29990101,,
1,カナカン株式会社　外食高岡営業所,933-0816,富山県,高岡市,二塚199-1,,0766-63-4825,992175,104,その他の食料・飲料販売業,,,20210824,29990101,,
1,沢田屋,933-0023,富山県,高岡市,末広町8-46,,0766-22-0673,991123,102,野菜果物販売業,,,20211025,29990101,,
1,カネ美食品㈱ リーズデリ魚津店,937-0851,富山県,魚津市,住吉600,MEGA ドン・キホーテ UNY 魚津店内,0765-23-4263,991182,1,飲食店営業,そう菜,19991112,20231112,20291111,,0
1,カネ美食品㈱ リーズデリ魚津店,937-0851,富山県,魚津市,住吉600,MEGA ドン・キホーテ UNY 魚津店内,0765-23-4263,991182,102,その他の食料・飲料販売業,,,20211129,29990101,,
1,カネ美食品㈱　リーズデリ砺波店,939-1363,富山県,砺波市,太郎丸3-69,ＭＥＧＡドン・キホーテＵＮＹ砺波店内,0763-32-7881,992470,1,飲食店営業,そう菜,19990702,20230702,20290701,,0
1,カネ美食品㈱　リーズデリ砺波店,939-1363,富山県,砺波市,太郎丸3-69,ＭＥＧＡドン・キホーテＵＮＹ砺波店内,0763-32-7881,992470,102,その他の食料・飲料販売業,,,,,,
1,カネ美食品株式会社小矢部店,932-0051,富山県,小矢部市,今石動町2-9-18,ピアゴ小矢部店１F,0766-68-3068,20002,1,飲食店営業,仕出し弁当,20020126,20200126,20260125,,0
1,カネ美食品株式会社小矢部店,932-0051,富山県,小矢部市,今石動町2-9-18,ピアゴ小矢部店１F,0766-68-3068,20002,102,その他の食料・飲料販売業,,,20211201,29990101,,
1,ぎんなん餅本舗おがや（株）,935-0012,富山県,氷見市,比美町6-17,,0766-74-3000,990390,1,菓子製造業,,19870114,20210901,20260831,,0
1,くろべ漁協,938-0066,富山県,黒部市,生地中区365,,0765-57-0101,990116,1,魚介類せり売営業,,19871208,20191208,20241207,,0
1,魚の駅「生地」とれたて館,938-0072,富山県,黒部市,生地中区265,魚の駅「生地」,0765-57-0192,491,5,飲食店営業,軽食,20180329,20230329,20280328,,
1,魚の駅「生地」とれたて館,938-0072,富山県,黒部市,生地中区265,魚の駅「生地」,0765-57-0192,491,6,水産製品製造業,,20220107,20220111,20270110,,
1,魚の駅「生地」とれたて館,938-0072,富山県,黒部市,生地中区265,魚の駅「生地」,0765-57-0192,491,107,その他の食料・飲料販売業,,,20230320,20990101,,
1,アイディック（株）,939-0307,富山県,射水市,戸破53-20,,0766-55-5300,991459,1,乳類販売業,,19970602,20150602,20210601,,0
1,アイディック（株）,939-0307,富山県,射水市,戸破53-20,,0766-55-5300,991459,3,魚介類販売業（包装済の魚介類のみの販売）,,19970602,20150602,20210601,,0
1,アイディック（株）,939-0307,富山県,射水市,戸破53-20,,0766-55-5300,991459,5,食肉販売業（包装済の食肉のみの販売）,,20200903,20200921,20210920,,
1,サンミルク株式会社,939-1612,富山県,南砺市,岩木422-2,,0763-52-3435,992199,1,乳類販売業,,19971101,20191101,20251031,,0
1,ぬく森の郷,939-1605,富山県,南砺市,小又311,ぬく森の郷,,210,1,乳類販売業,自動販売機,20010422,20190422,20250421,,0
1,ロッジ　シマヤ,939-1927,富山県,南砺市,梨谷字蛇原342-1,,0763-66-2155,142,1,飲食店営業,食堂,20001209,20201209,20251208,,0
1,ジャパンテクノフーズ（株）,930-0248,富山県,中新川郡立山町,野村174-3,,076-463-5380,990180,1,清涼飲料水製造業,,19990206,20220206,20280205,,0
1,ジャパンテクノフーズ（株）,930-0248,富山県,中新川郡立山町,野村174-3,,076-463-5380,990180,5,添加物製造業,,20190819,20190901,20240831,,
1,ジャパンテクノフーズ（株）,930-0248,富山県,中新川郡立山町,野村174-3,,076-463-5380,990180,4,菓子製造業,,20190819,20190901,20240831,,
1,ジャパンテクノフーズ（株）,930-0248,富山県,中新川郡立山町,野村174-3,,076-463-5380,990180,106,いわゆる健康食品の製造・加工業,,,,,,
1,スターバックスコーヒーイオンモール高岡店,933-0813,富山県,高岡市,下伏間江383,イオンモール高岡　東館１Ｆ,0766-32-1167,20180,1,飲食店営業,喫茶軽食,20020906,20200913,20260912,,0
1,スターバックスコーヒーイオンモール高岡店,933-0813,富山県,高岡市,下伏間江383,イオンモール高岡　東館１Ｆ,0766-32-1167,20180,102,その他の食料・飲料販売業,,,20210909,29990101,,
1,ホテルロンシャン,933-0013,富山県,高岡市,三女子132-1,,0766-21-4055,991124,1,飲食店営業,簡易,19971025,20211025,20261024,,0
1,たつみ屋株式会社,933-0011,富山県,高岡市,石瀬367-4,,0766-23-2678,990034,1,食品の小分け業,,19970804,20220804,20270803,,0
1,たつみ屋株式会社,933-0011,富山県,高岡市,石瀬367-4,,0766-23-2678,990034,104,その他の食料・飲料販売業,,,20220613,29990101,,
1,ツルヤ味噌株式会社,935-0031,富山県,氷見市,柳田字布尾山24,,,990021,1,みそ又はしょうゆ製造業,,19811114,20211101,20261031,,
1,ツルヤ味噌株式会社,935-0031,富山県,氷見市,柳田字布尾山24,,,990021,3,めん類製造業,,20210531,20210531,20270530,,
1,トナミ醤油株式会社,932-0305,富山県,砺波市,庄川町金屋3905-1,,0763-82-0264,990005,3,ソース類製造業,,20051213,20201213,20251212,,
1,トナミ醤油株式会社,932-0305,富山県,砺波市,庄川町金屋3905-1,,0763-82-0264,990005,4,清涼飲料水製造業,,20070717,20220604,20270603,,
1,トナミ醤油株式会社,932-0305,富山県,砺波市,庄川町金屋1834,,0763-82-0264,990172,1,みそ又はしょうゆ製造業,,19691115,20211101,20261031,,0
1,となみ乳業協業組合,939-1374,富山県,砺波市,山王町5-3,,0763-32-2019,990177,1,清涼飲料水製造業,,20050411,20200501,20250430,,0
1,となみ乳業協業組合,939-1374,富山県,砺波市,山王町5-3,,0763-32-2019,990177,2,乳製品製造業,,19701130,20231130,20281129,,0
1,となみ乳業協業組合,939-1374,富山県,砺波市,山王町5-3,,0763-32-2019,990177,3,乳処理業,,19701113,20231113,20281112,,0
1,となみ乳業協業組合,939-1374,富山県,砺波市,山王町5-3,,0763-32-2019,990177,4,菓子製造業,,20050411,20200501,20250430,,0
1,となみ乳業協業組合,939-1374,富山県,砺波市,山王町5-3,,0763-32-2019,990177,5,乳酸菌飲料製造業,,20050411,20200501,20250430,,0
1,となみ野農協　味噌加工施設,939-1315,富山県,砺波市,太田941,,0763-32-2244,990006,1,みそ又はしょうゆ製造業,,19851014,20211001,20260930,,0
1,入善町総合体育,939-0626,富山県,下新川郡入善町,入膳468,入善町総合体育館,,299,2,乳類販売業,自動販売機,20201118,20201120,20211119,,
1,とやまアルペン乳業株式会社　入善ＳＰ,939-0626,富山県,下新川郡入善町,入膳6149-6,とやまアルペン乳業株式会社　入善ＳＰ,,317,2,乳類販売業,,20201118,20201119,20211118,,
1,入善町役場食堂前,939-0626,富山県,下新川郡入善町,入膳3255,入善町役場食堂前,,322,2,乳類販売業,自動販売機,20201118,20201119,20211118,,
1,高岡商業高校　双龍会館食堂,933-0953,富山県,高岡市,横田286,高岡商業高校　双龍会館食堂,,993358,1,乳類販売業,自動販売機,20000402,20170402,20230401,,0
1,なんと農協上平野菜山菜加工場,939-1978,富山県,南砺市,下島789,,0763-67-3443,990313,1,そうざい製造業,,20050609,20200701,20250630,,0
1,なんと農協上平野菜山菜加工場,939-1978,富山県,南砺市,下島789,,0763-67-3443,990313,2,みそ又はしょうゆ製造業,,19821125,20231001,20280930,,0
1,なんと農協上平野菜山菜加工場,939-1978,富山県,南砺市,下島789,,0763-67-3443,990313,3,密封包装食品製造業,,20211203,20211203,20261202,,
1,なんと農協上平野菜山菜加工場,939-1978,富山県,南砺市,下島789,,0763-67-3443,990313,4,漬物製造業,,20230922,20231001,20280930,,
1,ニットービバレッジ株式会社,939-0744,富山県,下新川郡朝日町,平柳500,,0765-82-1133,991779,2,清涼飲料水製造業,,20050218,20230218,20290217,,0
1,ニューオータニ高岡フード,933-0321,富山県,高岡市,六家字若の宮1701-1,,0766-31-5131,992280,4,そうざい製造業,,20171213,20231213,20291212,,
1,グランブッフェ高岡店,933-0813,富山県,高岡市,下伏間江383,イオンモール高岡　東館１Ｆ,0766-32-1155,20173,1,飲食店営業,食堂,20020906,20200913,20260912,,0
1,グランブッフェ高岡店,933-0813,富山県,高岡市,下伏間江383,イオンモール高岡　東館１Ｆ,0766-32-1155,20173,102,その他の食料・飲料販売業,,,20221126,29990101,,
1,カラオケスタジオ飛行船高岡店,933-0941,富山県,高岡市,内免2-6-22,,0766-24-8766,993168,1,飲食店営業,軽飲食,19991227,20201227,20251226,,0
1,フルタフーズ　石瀬工場,933-0011,富山県,高岡市,石瀬820,,0766-26-4000,992396,1,そうざい製造業,,19960722,20180722,20240721,,0
1,ホワイト食品工業株式会社,939-1861,富山県,南砺市,是安4410-1,,0763-62-1777,990986,2,乳製品製造業,,19990820,20230820,20290819,,0
1,マルイ食品,933-0934,富山県,高岡市,博労町3-5,,0766-24-9933,700001,102,その他の食料品製造・加工業,,,20220303,29990101,,
1,北川製油株式会社,939-0251,富山県,射水市,土合465,,0766-52-5511,990577,4,豆腐製造業,,20050322,20230322,20290321,,0
1,北川製油株式会社,939-0251,富山県,射水市,土合465,,0766-52-5511,990577,1,そうざい製造業,,19870324,20200324,20250323,,0
1,北川製油株式会社,939-0251,富山県,射水市,土合465,,0766-52-5511,990577,5,清涼飲料水製造業,,20050322,20230322,20290321,,0
1,マルサムバラエティセンター姫野店,934-0093,富山県,高岡市,姫野255,,0766-84-3208,993112,1,乳類販売業,,19991111,20171111,20231110,,0
1,マルサムバラエティセンター姫野店,934-0093,富山県,高岡市,姫野255,,0766-84-3208,993112,102,百貨店、総合スーパー,,,20221213,29990101,,
1,カジュアルダイニングボン,933-0023,富山県,高岡市,末広町1-8,ウイング・ウイング高岡２Ｆ,0766-27-0123,40028,1,飲食店営業,食堂,20040317,20240325,20290324,,0
1,五百石スーパーむらい,930-0214,富山県,中新川郡立山町,五百石19,五百石スーパーむらい,,990848,106,その他の食料・飲料販売業,,,20221213,29990101,,
1,ヤマサン食品工業（株）,939-0311,富山県,射水市,黒河3197,,0766-56-4866,990572,1,密封包装食品製造業,,20050506,20220507,20280506,,0
1,ヤマサン食品工業（株）,939-0311,富山県,射水市,黒河3197,,0766-56-4866,990572,3,そうざい製造業,,19980514,20200514,20250513,,0
1,ヨ八魚問屋,937-0003,富山県,魚津市,持光寺183,,0765-24-4848,242,1,水産製品製造業,,20030711,20230711,20280710,,0
1,ワタキューＨowＳhop小矢部大家病院売店,932-0825,富山県,小矢部市,島321,小矢部大家病院内,0766-67-2002,53,1,乳類販売業,,20001120,20181120,20241119,,0
1,ワタキューＨowＳhop小矢部大家病院売店,932-0825,富山県,小矢部市,島321,小矢部大家病院内,0766-67-2002,53,102,コンビニエンスストア,,,20210901,29990101,,
0,居酒屋れん,933-0023,富山県,高岡市,末広町36-26,,0766-23-8815,40132,1,飲食店営業,軽飲食,20040705,20240706,20290705,,0
0,森永牛乳武屋販売店,939-0234,富山県,射水市,二口1234-4,,,991467,1,乳類販売業,,19970714,20190714,20250713,,0
1,民宿  あお,935-0002,富山県,氷見市,阿尾491,,0766-74-3300,990059,1,飲食店営業,旅館,19900410,20200401,20260331,,0
1,民宿  あお,935-0002,富山県,氷見市,阿尾491,,0766-74-3300,990059,2,ふぐ処理営業,,20110725,20210725,20260724,,
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島863,,0766-61-2014,990556,1,缶詰又は瓶詰食品製造業,,19800229,20200215,20250214,,0
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島863,,0766-61-2014,990556,2,みそ製造業,,19800215,20200215,20250214,,0
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島863,,0766-61-2014,990556,3,醤油製造業,,19800215,20200215,20250214,,0
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島863,,0766-61-2014,990556,104,調味料製造・加工業,,,20231215,29990101,,
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島867-3,,0766-61-2014,990586,1,ソース類製造業,,19921001,20201001,20250214,,0
1,旭醤油味噌株式会社,932-0102,富山県,小矢部市,水島867-3,,0766-61-2014,990586,3,そうざい製造業,,19960215,20220215,20270214,,0
0,日の出寿し,933-0024,富山県,高岡市,宮脇町1004,,,990194,1,飲食店営業,すし,19991025,20191025,20241024,,0
0,あわやま製麺,933-0906,富山県,高岡市,五福町8-16,,,990043,1,めん類製造業,,19880815,20200815,20250814,,0
0,喜多山小杉店,939-0351,富山県,射水市,戸破1557,,0766-56-1280,990711,1,飲食店営業,食堂,19840501,20200501,20250430,,0
0,ヤスモト,933-0101,富山県,高岡市,伏木国分岩崎7-4,,0766-44-2500,991985,1,飲食店営業,喫茶軽食,19980430,20190430,20250429,,0
0,居酒屋えびす亭,939-0362,富山県,射水市,太閤山1-7,,0766-56-7655,990607,1,飲食店営業,軽飲食,19981122,20191122,20241121,,0
0,カラオケ広場　きらら,932-0315,富山県,砺波市,庄川町示野459-5,,0763-82-7072,715,1,飲食店営業,軽飲食,20040511,20240514,20290513,,0
0,れん華,933-0331,富山県,高岡市,中保60-13,,,20223,1,飲食店営業,軽飲食,20021018,20221101,20271031,,0
0,高岡岩坪温泉　凧,933-0974,富山県,高岡市,岩坪93-6,,0766-21-6869,30039,1,乳類販売業,,20030306,20200306,20250305,,0
0,高岡岩坪温泉　凧,933-0974,富山県,高岡市,岩坪93-6,,0766-21-6869,30039,2,飲食店営業,軽食,20100811,20200812,20250811,,
0,魚政,936-0846,富山県,滑川市,堀江460,,,990827,1,飲食店営業,仕出し弁当,19980131,20220131,20270130,,0
0,魚政,936-0846,富山県,滑川市,堀江460,,,990827,2,魚介類販売業,,19980131,20220131,20270130,,0
0,魚政,936-0846,富山県,滑川市,堀江460,,,990827,105,その他の食料・飲料販売業,,,20220119,29990101,,
0,一品香,939-1375,富山県,砺波市,中央町10-43,,0763-33-2148,991417,1,飲食店営業,中華料理,19831227,20201201,20251130,,0
0,立山サンダーバード,930-1377,富山県,中新川郡立山町,横江西木下6-1,,076-483-3331,991095,1,飲食店営業,仕出し弁当,19960730,20230730,20290729,,
0,立山サンダーバード,930-1377,富山県,中新川郡立山町,横江西木下6-1,,076-483-3331,991095,106,コンビニエンスストア,,,20230614,29990101,,
0,スナック　夢一輪,937-0046,富山県,魚津市,上村木1-8-1,森内ビル２Ｆ,0764-23-0117,151,1,飲食店営業,軽飲食,20020130,20220130,20270129,,0
0,井山缶詰,935-0332,富山県,氷見市,森寺1288,,,990002,1,缶詰又は瓶詰食品製造業,,19920622,20200601,20250531,,0
0,笹寿し,936-0058,富山県,滑川市,下小泉189-6,,,990369,1,飲食店営業,すし,19991022,20191022,20241021,,0
0,井上菓子舗,935-0005,富山県,氷見市,栄町10-56,,,990375,1,菓子製造業,,19710806,20190801,20240731,,0
0,井田新松堂,939-0667,富山県,下新川郡入善町,芦崎64,,,990665,1,菓子製造業,,19971020,20211020,20261019,,0
0,井波屋菓子舗,939-1861,富山県,南砺市,城端573,,,120,1,菓子製造業,,20001102,20201102,20251101,,0
0,井波屋菓子舗,939-1861,富山県,南砺市,城端573,,,120,2,喫茶店営業,,20001102,20201102,20251101,,0
0,なおちゃん,933-0856,富山県,高岡市,鐘紡町1-13,,,30072,1,飲食店営業,食堂,20030430,20230503,20280502,,0
0,一ノ谷豆腐店,932-0053,富山県,小矢部市,石動町2-11,,,990631,1,豆腐製造業,,19871002,20191002,20241001,,0
0,味処　割烹  しげはま,935-0017,富山県,氷見市,丸の内2-18,,,990184,1,飲食店営業,料理,19800130,20201201,20251130,,0
0,居酒屋夕やけ,933-0023,富山県,高岡市,末広町8-35,,,991983,1,飲食店営業,軽飲食,19980325,20230325,20280324,,0
0,稲見食品,939-1337,富山県,砺波市,神島423-1,,,990347,1,そうざい製造業,,19811110,20181101,20241031,,0
0,六本木,933-0104,富山県,高岡市,伏木湊町4-16,,0766-44-6657,990207,1,飲食店営業,軽飲食,19990501,20240501,20290430,,0
0,カフェアロハ,938-0031,富山県,黒部市,三日市729,,0765-54-3537,990953,1,飲食店営業,軽飲食,19930922,20210922,20260921,,0
0,ﾍﾙｼｰﾄﾞﾘﾝｸ＆ﾌｰﾄﾞふらわー,930-0361,富山県,中新川郡上市町,湯上野1176,つるぎふれあい館２階,076-472-3144,991541,1,飲食店営業,喫茶軽食,19980729,20230729,20280728,,0
0,いなむら,939-0351,富山県,射水市,戸破3598,,,570,1,飲食店営業,軽飲食,20041227,20191228,20241227,,0
0,稲地商店,934-0002,富山県,射水市,港町9-22,,,990026,1,みそ又はしょうゆ製造業,,19691115,20211115,20261114,,0
0,スナックありきたり,939-0132,富山県,高岡市,福岡町大滝245-1,,0766-64-6577,990706,1,飲食店営業,軽飲食,19950429,20240429,20290428,,0
0,洋食屋レストランジェノバ,938-0013,富山県,黒部市,沓掛5312,,,990272,1,飲食店営業,食堂,19841014,20201014,20251013,,0
0,やすらぎ,939-0746,富山県,下新川郡朝日町,荒川574-1,,0765-83-1668,991494,1,飲食店営業,軽飲食,19890809,20210809,20260808,,0
1,宇奈月麦酒館,938-0861,富山県,黒部市,宇奈月町下立687,,0765-65-2277,991495,1,飲食店営業,食堂,19970207,20190207,20250206,,0
1,宇奈月麦酒館,938-0861,富山県,黒部市,宇奈月町下立687,,0765-65-2277,991495,2,酒類製造業,,19970207,20190207,20250206,,0
1,宇奈月麦酒館,938-0861,富山県,黒部市,宇奈月町下立687,,0765-65-2277,991495,3,アイスクリーム類製造業,,20190723,20190723,20240722,,
0,あさひＣｉｔｙ　Ｉｎｎ,933-0021,富山県,高岡市,下関町1-34,,,991139,1,飲食店営業,旅館,19970806,20190806,20250805,,0
0,はおかや,933-0039,富山県,高岡市,大手町3-18,,,990141,3,飲食店営業,仕出し弁当,19961026,20221026,20271025,,0
0,羽馬製菓,939-1923,富山県,南砺市,下梨2096,,,990590,1,菓子製造業,,19730201,20201001,20250930,,0
0,羽馬家,939-1971,富山県,南砺市,小瀬24,,,991470,1,飲食店営業,旅館,19690214,20201101,20251031,,0
0,碓井製菓舗,930-0313,富山県,中新川郡上市町,中江上660-3,,,990779,1,菓子製造業,,19920531,20240531,20290530,,0
0,民宿うら屋,935-0413,富山県,氷見市,小境44,,,990985,1,飲食店営業,旅館,19971101,20191101,20251031,,0
0,民宿うら屋,935-0413,富山県,氷見市,小境44,,,990985,2,ふぐ処理営業,,20111006,20231007,20291006,,
0,ﾗ･ﾛﾝﾄﾞ,937-0863,富山県,魚津市,新宿4-13,,0765-22-2213,990135,1,飲食店営業,軽飲食,19970414,20210414,20260413,,0
0,徳利,937-0046,富山県,魚津市,上村木1-7-23,,,990062,1,飲食店営業,軽飲食,19990714,20220714,20270713,,0
0,赤色珈琲店,933-0029,富山県,高岡市,御旅屋町102,,,992053,1,飲食店営業,喫茶軽食,19981214,20231214,20281213,,0
1,栄光株式会社富山営業所,939-0402,富山県,射水市,流通センター水戸田3-1-1,栄光㈱富山営業所,0766-56-6161,991055,1,乳類販売業,,19891031,20151031,20211030,,0
1,栄光株式会社富山営業所,939-0402,富山県,射水市,流通センター水戸田3-1-1,栄光㈱富山営業所,0766-56-6161,991055,102,その他の食料・飲料販売業,,,,,,
1,栄光株式会社富山営業所,939-0402,富山県,射水市,流通センター水戸田3-1-1,栄光㈱富山営業所,0766-56-6161,991055,103,その他の食料・飲料販売業,,,20211019,29990101,,
0,ひまわり,933-0029,富山県,高岡市,御旅屋町字松田1170-1,エルパセオ１Ｆ,0766-28-2534,993098,1,飲食店営業,喫茶軽食,19991002,20191002,20241001,,0
0,永本商店,935-0065,富山県,氷見市,泉1404,,,990008,3,乳類販売業,,19860905,20150901,20210831,,0
0,源兵衛精肉店,938-0066,富山県,黒部市,生地714,,,990493,2,食肉販売業,,20050511,20200511,20250510,,0
0,源兵衛精肉店,938-0066,富山県,黒部市,生地714,,,990493,1,飲食店営業,そう菜,20050511,20200511,20250510,,0
1,射水神社,933-0044,富山県,高岡市,古城1-1,,0766-22-3104,992846,1,飲食店営業,料理,19981001,20211001,20270930,,0
0,マジョルカ,938-0806,富山県,黒部市,前沢2225-2,,0765-54-3920,991104,1,飲食店営業,食堂,19860729,20230729,20280728,,0
0,塩井鮮魚店,935-0016,富山県,氷見市,本町15-6,,,990465,1,魚介類販売業,,19700727,20230701,20280630,,0
0,塩井鮮魚店,935-0016,富山県,氷見市,本町15-6,,,990465,2,ふぐ処理営業,,20110930,20210930,20260929,,
0,大仏旅館,933-0035,富山県,高岡市,新横町1276,,,991147,1,飲食店営業,旅館,19970510,20210510,20260509,,0
0,奥とうふ店,933-0985,富山県,高岡市,須田226-4,,,5,1,豆腐製造業,,20000119,20200119,20250118,,0
1,猿飛山荘,938-0200,富山県,黒部市,宇奈月町欅平,,0765-62-1004,990556,3,飲食店営業,旅館,19970209,20210629,20260628,,0
0,フィレンツェショップ,932-0821,富山県,小矢部市,鷲島10,クロスランドおやべ内,0766-67-5882,990652,2,アイスクリーム類製造業,,19940501,20200501,20260430,,0
0,フィレンツェショップ,932-0821,富山県,小矢部市,鷲島10,クロスランドおやべ内,0766-67-5882,990652,1,飲食店営業,軽食,19940501,20230501,20280430,,0
